city,timestamp,aqi,pm25,pm10,co,no2,so2,o3,hour,day,month,weekday
Karachi,2025-08-03 10:00:00,3,16.53,73.44,72.88,0.05,0.29,45.68,10,3,8,6
Karachi,2025-08-03 11:00:00,3,15.88,70.67,72.37,0.05,0.29,45.07,11,3,8,6
Karachi,2025-08-03 12:00:00,3,15.48,68.1,71.28,0.05,0.3,44.26,12,3,8,6
Karachi,2025-08-03 13:00:00,3,15.11,64.09,70.74,0.06,0.3,43.72,13,3,8,6
Karachi,2025-08-03 14:00:00,3,14.68,59.39,71.37,0.08,0.29,43.59,14,3,8,6
Karachi,2025-08-03 15:00:00,3,14.35,56.03,73.01,0.08,0.29,43.85,15,3,8,6
Karachi,2025-08-03 16:00:00,3,13.9,52.7,75.59,0.08,0.28,44.42,16,3,8,6
Karachi,2025-08-03 17:00:00,2,13.47,49.97,78.8,0.08,0.28,45.26,17,3,8,6
Karachi,2025-08-03 18:00:00,2,13.35,48.4,81.1,0.08,0.28,45.98,18,3,8,6
Karachi,2025-08-03 19:00:00,2,13.47,47.55,81.73,0.08,0.28,46.29,19,3,8,6
Karachi,2025-08-03 20:00:00,2,13.85,48.46,81.59,0.08,0.28,46.42,20,3,8,6
Karachi,2025-08-03 21:00:00,2,14.18,49.74,80.7,0.08,0.28,46.5,21,3,8,6
Karachi,2025-08-03 22:00:00,3,14.21,50.48,79.4,0.08,0.28,46.66,22,3,8,6
Karachi,2025-08-03 23:00:00,3,13.96,50.84,78.06,0.08,0.27,47.08,23,3,8,6
Karachi,2025-08-04 00:00:00,3,13.71,51.62,76.89,0.07,0.28,47.63,0,4,8,0
Karachi,2025-08-04 01:00:00,3,13.38,50.22,75.91,0.07,0.28,48.24,1,4,8,0
Karachi,2025-08-04 02:00:00,2,13.05,48.44,74.98,0.08,0.27,48.8,2,4,8,0
Karachi,2025-08-04 03:00:00,2,12.67,46.9,74.41,0.08,0.27,49.36,3,4,8,0
Karachi,2025-08-04 04:00:00,2,12.22,46.47,74.15,0.06,0.27,49.82,4,4,8,0
Karachi,2025-08-04 05:00:00,2,11.78,46.31,74.14,0.05,0.26,50.13,5,4,8,0
Karachi,2025-08-04 06:00:00,2,11.43,45.71,74.22,0.04,0.26,49.99,6,4,8,0
Karachi,2025-08-04 07:00:00,2,11.21,45.05,74.23,0.04,0.25,49.31,7,4,8,0
Karachi,2025-08-04 08:00:00,2,11.22,44.97,74.21,0.03,0.25,48.25,8,4,8,0
Karachi,2025-08-04 09:00:00,2,11.27,44.92,74.14,0.03,0.25,47.1,9,4,8,0
Karachi,2025-08-04 10:00:00,2,11.24,44.07,74.16,0.03,0.25,46.17,10,4,8,0
Karachi,2025-08-04 11:00:00,2,10.9,42.54,74.22,0.04,0.25,45.52,11,4,8,0
Karachi,2025-08-04 12:00:00,2,10.41,41.17,74.02,0.04,0.25,45.17,12,4,8,0
Karachi,2025-08-04 13:00:00,2,9.99,39.48,73.74,0.05,0.26,45.03,13,4,8,0
Karachi,2025-08-04 14:00:00,2,9.82,37.57,73.52,0.06,0.27,44.89,14,4,8,0
Karachi,2025-08-04 15:00:00,2,9.97,37.11,73.62,0.07,0.28,44.82,15,4,8,0
Karachi,2025-08-04 16:00:00,2,10.27,37.11,74.36,0.07,0.28,44.76,16,4,8,0
Karachi,2025-08-04 17:00:00,2,10.66,37.89,75.85,0.07,0.29,44.73,17,4,8,0
Karachi,2025-08-04 18:00:00,2,11.23,40.22,77.0,0.07,0.3,44.66,18,4,8,0
Karachi,2025-08-04 19:00:00,2,11.91,42.91,77.45,0.07,0.31,44.39,19,4,8,0
Karachi,2025-08-04 20:00:00,2,12.63,45.82,77.53,0.07,0.32,44.09,20,4,8,0
Karachi,2025-08-04 21:00:00,2,13.21,49.19,77.09,0.08,0.32,43.72,21,4,8,0
Karachi,2025-08-04 22:00:00,3,13.52,52.21,76.64,0.08,0.32,43.39,22,4,8,0
Karachi,2025-08-04 23:00:00,3,13.35,52.49,76.41,0.08,0.32,43.11,23,4,8,0
Karachi,2025-08-05 00:00:00,3,12.87,50.89,76.11,0.08,0.31,42.93,0,5,8,1
Karachi,2025-08-05 01:00:00,3,12.42,50.2,75.7,0.08,0.31,42.87,1,5,8,1
Karachi,2025-08-05 02:00:00,2,12.12,49.65,75.34,0.08,0.31,43.01,2,5,8,1
Karachi,2025-08-05 03:00:00,2,11.85,47.89,75.36,0.08,0.31,43.39,3,5,8,1
Karachi,2025-08-05 04:00:00,2,11.66,46.32,75.67,0.08,0.3,43.88,4,5,8,1
Karachi,2025-08-05 05:00:00,2,11.81,46.82,76.04,0.07,0.31,44.35,5,5,8,1
Karachi,2025-08-05 06:00:00,2,11.86,47.0,76.52,0.06,0.31,44.69,6,5,8,1
Karachi,2025-08-05 07:00:00,2,11.74,46.49,76.76,0.05,0.32,44.87,7,5,8,1
Karachi,2025-08-05 08:00:00,2,11.49,45.48,76.93,0.05,0.31,44.97,8,5,8,1
Karachi,2025-08-05 09:00:00,2,11.23,44.7,76.8,0.05,0.31,44.9,9,5,8,1
Karachi,2025-08-05 10:00:00,2,10.95,44.54,76.69,0.05,0.31,44.71,10,5,8,1
Karachi,2025-08-05 11:00:00,2,10.5,44.2,77.06,0.06,0.31,44.39,11,5,8,1
Karachi,2025-08-05 12:00:00,2,10.21,44.55,77.63,0.06,0.31,43.94,12,5,8,1
Karachi,2025-08-05 13:00:00,2,10.13,42.87,78.62,0.07,0.3,43.5,13,5,8,1
Karachi,2025-08-05 14:00:00,2,10.26,40.95,79.53,0.08,0.3,43.13,14,5,8,1
Karachi,2025-08-05 15:00:00,2,10.64,41.22,80.05,0.08,0.3,42.96,15,5,8,1
